customer_id,customer_name,segment
282,"Aaron Bergman",Consumer
532,"Aaron Hawkins",Corporate
419,"Aaron Smayling",Corporate
43,"Adam Bellavance","Home Office"
661,"Adam Hart",Corporate
493,"Adam Shillingsburg",Consumer
599,"Adrian Barton",Consumer
717,"Adrian Hane","Home Office"
794,"Adrian Shami","Home Office"
158,"Aimee Bixby",Consumer
278,"Alan Barnes",Consumer
744,"Alan Dominguez","Home Office"
100,"Alan Haines",Corporate
741,"Alan Hwang",Consumer
600,"Alan Schoenberger",Corporate
171,"Alan Shonely",Consumer
122,"Alejandro Ballentine","Home Office"
51,"Alejandro Grove",Consumer
421,"Alejandro Savely",Corporate
113,"Aleksandra Gannaway",Corporate
462,"Alex Avila",Consumer
720,"Alex Grayson",Consumer
454,"Alex Russell",Corporate
291,"Alice Mccarthy",Corporate
531,"Allen Armold",Consumer
522,"Allen Goldenen",Consumer
165,"Allen Rosenblatt",Corporate
41,"Alyssa Crouse",Corporate
625,"Alyssa Tate","Home Office"
733,"Amy Cox",Consumer
491,"Amy Hunt",Consumer
571,"Andrew Allen",Consumer
297,"Andrew Gjertsen",Corporate
288,"Andrew Roberts",Consumer
680,"Andy Gerbode",Corporate
555,"Andy Reiter",Consumer
492,"Andy Yotov",Corporate
528,"Anemone Ratner",Consumer
650,"Angele Hood",Consumer
116,"Ann Blume",Corporate
561,"Ann Chong",Corporate
216,"Ann Steele","Home Office"
170,"Anna Andreadi",Consumer
636,"Anna Chung",Consumer
363,"Anna Gayman",Consumer
248,"Anna Haberlin",Corporate
568,"Anne Mcfarland",Consumer
341,"Anne Pryor","Home Office"
3,"Annie Thurman",Consumer
403,"Annie Zypern",Consumer
