order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority
AG-2011-2040,2011-01-01,2011-01-06,"Standard Class","Toby Braunhardt",Consumer,Constantine,Algeria,AFRICA,AFRICA,OFF-TEN-10000025,"Office Supplies",Storage,"Tenex Lockers, Blue",408.00,2,0.00000,106.14000,35.46,Medium
IN-2011-47883,2011-01-01,2011-01-08,"Standard Class","Joseph Holt",Consumer,"New South Wales",Australia,APAC,OCEANIA,OFF-SU-10000618,"Office Supplies",Supplies,"Acme Trimmer, High Speed",120.00,3,0.10000,36.03600,9.72,Medium
HU-2011-1220,2011-01-01,2011-01-05,"Second Class","Annie Thurman",Consumer,Budapest,Hungary,EMEA,EMEA,OFF-TEN-10001585,"Office Supplies",Storage,"Tenex Box, Single Width",66.00,4,0.00000,29.64000,8.17,High
IT-2011-3647632,2011-01-01,2011-01-05,"Second Class","Eugene Moren","Home Office",Stockholm,Sweden,EU,NORTH,OFF-PA-10001492,"Office Supplies",Paper,"Enermax Note Cards, Premium",45.00,3,0.50000,-26.05500,4.82,High
IN-2011-47883,2011-01-01,2011-01-08,"Standard Class","Joseph Holt",Consumer,"New South Wales",Australia,APAC,OCEANIA,FUR-FU-10003447,Furniture,Furnishings,"Eldon Light Bulb, Duo Pack",114.00,5,0.10000,37.77000,4.70,Medium
IN-2011-47883,2011-01-01,2011-01-08,"Standard Class","Joseph Holt",Consumer,"New South Wales",Australia,APAC,OCEANIA,OFF-PA-10001968,"Office Supplies",Paper,"Eaton Computer Printout Paper, 8.5 X 11",55.00,2,0.10000,15.34200,1.80,Medium
CA-2011-1510,2011-01-02,2011-01-06,"Standard Class","Magdelene Morse",Consumer,Ontario,Canada,CANADA,CANADA,TEC-OKI-10002750,Technology,Machines,"Okidata Inkjet, Wireless",314.00,1,0.00000,3.12000,24.10,Medium
IN-2011-79397,2011-01-03,2011-01-03,"Same Day","Kean Nguyen",Corporate,"New South Wales",Australia,APAC,OCEANIA,OFF-AP-10000304,"Office Supplies",Appliances,"Hoover Microwave, White",276.00,1,0.10000,110.41200,125.32,Critical
ID-2011-80230,2011-01-03,2011-01-09,"Standard Class","Ken Lonsdale",Consumer,Auckland,"New Zealand",APAC,OCEANIA,TEC-CO-10004182,Technology,Copiers,"Hewlett Wireless Fax, Laser",912.00,4,0.40000,-319.46400,107.10,Low
IZ-2011-4680,2011-01-03,2011-01-07,"Standard Class","Lindsay Williams",Corporate,Ninawa,Iraq,EMEA,EMEA,FUR-NOV-10002791,Furniture,Chairs,"Novimex Swivel Stool, Set Of Two",667.00,4,0.00000,253.32000,81.26,High
