order_id,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,order_priority
AE-2011-9160,First Class,Aaron Bergman,Consumer,'Ajman,Afghanistan,AFRICA,AFRICA,FUR-ADV-10000002,Furniture,Accessories,"""While You Were Out"" Message Book, One Form Per Page",Critical
AE-2013-1130,Same Day,Aaron Hawkins,Corporate,'Amman,Albania,APAC,CANADA,FUR-ADV-10000108,Office Supplies,Appliances,"#10 Gummed Flap White Envelopes, 100/Box",High
AE-2013-1530,Second Class,Aaron Smayling,Home Office,'Asir,Algeria,CANADA,CARIBBEAN,FUR-ADV-10000183,Technology,Art,#10 Self-Seal White Envelopes,Low
AE-2014-2840,Standard Class,Adam Bellavance,,Abia,Angola,EMEA,CENTRAL,FUR-ADV-10000188,,Binders,"#10 White Business Envelopes,4 1/8 X 9 1/2",Medium
AE-2014-3830,,Adam Hart,,Abruzzi,Argentina,EU,CENTRAL ASIA,FUR-ADV-10000190,,Bookcases,"#10- 4 1/8"" X 9 1/2"" Recycled Envelopes",
AE-2014-4120,,Adam Shillingsburg,,Abuja Capital Territory,Armenia,LATAM,EAST,FUR-ADV-10000571,,Chairs,"#10- 4 1/8"" X 9 1/2"" Security-Tint Envelopes",
AG-2011-1070,,Adrian Barton,,Aceh,Australia,US,EMEA,FUR-ADV-10000600,,Copiers,"#10-4 1/8"" X 9 1/2"" Premium Diagonal Seam Envelopes",
AG-2011-1390,,Adrian Hane,,Acre,Austria,,NORTH,FUR-ADV-10000847,,Envelopes,#6 3/4 Gummed Flap White Envelopes,
AG-2011-1440,,Adrian Shami,,Ad Dawhah,Azerbaijan,,NORTH ASIA,FUR-ADV-10001283,,Fasteners,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",
AG-2011-2040,,Aimee Bixby,,Adamaoua,Bahrain,,OCEANIA,FUR-ADV-10001440,,Furnishings,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",
AG-2011-3090,,Alan Barnes,,Adamawa,Bangladesh,,SOUTH,FUR-ADV-10001659,,Labels,12 Colored Short Pencils,
AG-2011-3130,,Alan Dominguez,,Adana,Barbados,,SOUTHEAST ASIA,FUR-ADV-10001855,,Machines,12-1/2 Diameter Round Wall Clock,
AG-2011-380,,Alan Haines,,Adiyaman,Belarus,,WEST,FUR-ADV-10002329,,Paper,14-7/8 X 11 Blue Bar Computer Printout Paper,
AG-2011-4410,,Alan Hwang,,Afyonkarahisar,Belgium,,,FUR-ADV-10002601,,Phones,2300 Heavy-Duty Transfer File Systems By Perma,
AG-2011-4450,,Alan Schoenberger,,Aichi,Benin,,,FUR-ADV-10002632,,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",
AG-2011-450,,Alan Shonely,,Aksaray,Bolivia,,,FUR-ADV-10002889,,Supplies,24-Hour Round Wall Clock,
AG-2011-4560,,Alejandro Ballentine,,Akwa Ibom,Bosnia And Herzegovina,,,FUR-ADV-10003147,,Tables,3.6 Cubic Foot Counter Height Office Refrigerator,
AG-2011-500,,Alejandro Grove,,Al Bahr Al Ahmar,Brazil,,,FUR-ADV-10003326,,,36X48 Hardfloor Chairmat,
AG-2011-60,,Alejandro Savely,,Al Basrah,Bulgaria,,,FUR-ADV-10004159,,,"3D Systems Cube Printer, 2Nd Generation, Magenta",
AG-2011-7230,,Aleksandra Gannaway,,Al Buhayrah,Burundi,,,FUR-ADV-10004223,,,"3D Systems Cube Printer, 2Nd Generation, White",
AG-2011-7710,,Alex Avila,,Al Fayyum,Cambodia,,,FUR-ADV-10004395,,,3M Hangers With Command Adhesive,
AG-2011-8180,,Alex Grayson,,Al Gharbiyah,Cameroon,,,FUR-ADV-10004499,,,3M Office Air Cleaner,
AG-2011-8390,,Alex Russell,,Al Hudaydah,Canada,,,FUR-ADV-10004718,,,3M Organizer Strips,
AG-2011-8930,,Alice Mccarthy,,Al Iskandariyah,Central African Republic,,,FUR-ADV-10004971,,,3M Polarizing Light Filter Sleeves,
AG-2011-9060,,Allen Armold,,Al Jawf,Chad,,,FUR-BAR-10000560,,,"3M Polarizing Task Lamp With Clamp Arm, Light Gray",
AG-2011-9610,,Allen Goldenen,,Al Madinah,Chile,,,FUR-BAR-10000831,,,3M Replacement Filter For Office Air Cleaner For 20' X 33' Room,
AG-2011-9670,,Allen Rosenblatt,,Al Marqab,China,,,FUR-BAR-10000946,,,4009 Highlighters,
AG-2011-9890,,Alyssa Crouse,,Al Minufiyah,Colombia,,,FUR-BAR-10001039,,,4009 Highlighters By Sanford,
AG-2012-170,,Alyssa Tate,,Al Minya,Cote D'Ivoire,,,FUR-BAR-10002449,,,50 Colored Long Pencils,
AG-2012-1940,,Amy Cox,,Al Qadisiyah,Croatia,,,FUR-BAR-10002710,,,"6"" Cubicle Wall Clock, Black",
AG-2012-2200,,Amy Hunt,,Al Qahirah,Cuba,,,FUR-BAR-10003465,,,9-3/4 Diameter Round Wall Clock,
AG-2012-2220,,Andrew Allen,,Alabama,Czech Republic,,,FUR-BAR-10003532,,,Aastra 57I Voip Phone,
AG-2012-2430,,Andrew Gjertsen,,Alagoas,Democratic Republic Of The Congo,,,FUR-BAR-10003576,,,Aastra 6757I Ct Wireless Voip Phone,
AG-2012-3190,,Andrew Roberts,,Alberta,Denmark,,,FUR-BAR-10004434,,,Acco 3-Hole Punch,
AG-2012-4060,,Andy Gerbode,,Alger,Djibouti,,,FUR-BAR-10004553,,,"Acco 3-Hole Punch, Clear",
AG-2012-4630,,Andy Reiter,,Alibori,Dominican Republic,,,FUR-BAR-10004561,,,"Acco 3-Hole Punch, Durable",
AG-2012-4750,,Andy Yotov,,Almaty,Ecuador,,,FUR-BAR-10004682,,,"Acco 3-Hole Punch, Economy",
AG-2012-4910,,Anemone Ratner,,Almaty City,Egypt,,,FUR-BEV-10000326,,,"Acco 3-Hole Punch, Recycled",
AG-2012-5400,,Angele Hood,,Alsace,El Salvador,,,FUR-BEV-10000388,,,Acco 6 Outlet Guardian Basic Surge Suppressor,
AG-2012-6020,,Ann Blume,,Amapa,Equatorial Guinea,,,FUR-BEV-10001048,,,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,
AG-2012-6390,,Ann Chong,,Amasya,Eritrea,,,FUR-BEV-10001217,,,Acco 6 Outlet Guardian Premium Surge Suppressor,
AG-2012-7530,,Ann Steele,,Amazonas,Estonia,,,FUR-BEV-10001853,,,Acco 6 Outlet Guardian Standard Surge Suppressor,
AG-2012-8490,,Anna Andreadi,,Amur,Ethiopia,,,FUR-BEV-10002193,,,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",
AG-2012-8660,,Anna Chung,,Analamanga,Finland,,,FUR-BEV-10002369,,,"Acco Banker'S Clasps, 5 3/4""-Long",
AG-2013-2580,,Anna Gayman,,Anambra,France,,,FUR-BEV-10002803,,,"Acco Binder Covers, Clear",
AG-2013-2690,,Anna Haberlin,,Ancash,Gabon,,,FUR-BEV-10003414,,,"Acco Binder Covers, Durable",
AG-2013-2840,,Anne Mcfarland,,Andalusia,Georgia,,,FUR-BEV-10004805,,,"Acco Binder Covers, Economy",
AG-2013-2970,,Anne Pryor,,Andhra Pradesh,Germany,,,FUR-BEV-10004919,,,"Acco Binder Covers, Recycled",
AG-2013-3970,,Annie Thurman,,Andijan,Ghana,,,FUR-BO-10000002,,,"Acco Binder, Clear",
AG-2013-4150,,Annie Zypern,,Anhui,Guadeloupe,,,FUR-BO-10000008,,,"Acco Binder, Durable",
AG-2013-5140,,Anthony Garverick,,Ankara,Guatemala,,,FUR-BO-10000021,,,"Acco Binder, Economy",
AG-2013-5250,,Anthony Jacobs,,Annaba,Guinea,,,FUR-BO-10000022,,,"Acco Binder, Recycled",
AG-2013-5570,,Anthony Johnson,,Anseba,Guinea-Bissau,,,FUR-BO-10000034,,,"Acco Binding Machine, Clear",
AG-2013-5820,,Anthony O'Donnell,,Antalya,Haiti,,,FUR-BO-10000035,,,"Acco Binding Machine, Durable",
AG-2013-6090,,Anthony Rawles,,Antioquia,Honduras,,,FUR-BO-10000038,,,"Acco Binding Machine, Economy",
AG-2013-640,,Anthony Witt,,Antofagasta,Hong Kong,,,FUR-BO-10000071,,,"Acco Binding Machine, Recycled",
AG-2013-6520,,Arianne Irving,,Antwerp,Hungary,,,FUR-BO-10000087,,,"Acco Clips To Go Binder Clips, 24 Clips In Two Sizes",
AG-2013-6630,,Art Ferguson,,Anzoategui,India,,,FUR-BO-10000112,,,Acco D-Ring Binder W/Dubllock,
AG-2013-6810,,Art Foster,,Aomori,Indonesia,,,FUR-BO-10000120,,,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",
AG-2013-7890,,Arthur Gainer,,Apulia,Iran,,,FUR-BO-10000148,,,Acco Economy Flexible Poly Round Ring Binder,
AG-2013-8490,,Arthur Prichep,,Aqmola,Iraq,,,FUR-BO-10000155,,,Acco Expandable Hanging Binders,
AG-2013-8990,,Arthur Wiediger,,Aquitaine,Ireland,,,FUR-BO-10000160,,,"Acco Flexible Accohide Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",
AG-2013-9570,,Ashley Jarboe,,Ar Raqqah,Israel,,,FUR-BO-10000170,,,"Acco Four Pocket Poly Ring Binder With Label Holder, Smoke, 1""",
AG-2013-9890,,Astrea Jones,,Ar Riyad,Italy,,,FUR-BO-10000175,,,Acco Glide Clips,
AG-2014-2040,,Barbara Fisher,,Arad,Jamaica,,,FUR-BO-10000184,,,Acco Hanging Data Binders,
AG-2014-2110,,Barry Blumstein,,Aragua,Japan,,,FUR-BO-10000195,,,"Acco Hole Reinforcements, Clear",
AG-2014-2230,,Barry Franz,,Arauca,Jordan,,,FUR-BO-10000203,,,"Acco Hole Reinforcements, Durable",
AG-2014-2280,,Barry Franzosisch,,Arbil,Kazakhstan,,,FUR-BO-10000208,,,"Acco Hole Reinforcements, Economy",
AG-2014-2360,,Barry Gonzalez,,Ardabil,Kenya,,,FUR-BO-10000210,,,"Acco Hole Reinforcements, Recycled",
AG-2014-2600,,Barry Pond,,Ardahan,Kyrgyzstan,,,FUR-BO-10000214,,,Acco Hot Clips Clips To Go,
AG-2014-2760,,Barry Weirich,,Arequipa,Lebanon,,,FUR-BO-10000243,,,"Acco Index Tab, Clear",
AG-2014-2830,,Bart Folk,,Arges,Lesotho,,,FUR-BO-10000259,,,"Acco Index Tab, Durable",
AG-2014-3130,,Bart Pistole,,Arica Y Parinacota,Liberia,,,FUR-BO-10000265,,,"Acco Index Tab, Economy",
AG-2014-3510,,Bart Watters,,Arizona,Libya,,,FUR-BO-10000268,,,Acco Perma 2700 Stacking Storage Drawers,
AG-2014-3710,,Becky Castell,,Arkansas,Lithuania,,,FUR-BO-10000269,,,Acco Perma 3000 Stacking Storage Drawers,
AG-2014-4280,,Becky Martin,,Arkhangel'Sk,Macedonia,,,FUR-BO-10000279,,,Acco Perma 4000 Stacking Storage Drawers,
AG-2014-4290,,Becky Pak,,Artemisa,Madagascar,,,FUR-BO-10000288,,,"Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Dark Blue",
AG-2014-4590,,Ben Ferrer,,Artibonite,Malaysia,,,FUR-BO-10000311,,,"Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Executive Red",
AG-2014-4720,,Ben Peterman,,Arusha,Mali,,,FUR-BO-10000321,,,"Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Light Blue",
AG-2014-4840,,Ben Wallace,,Ash Sharqiyah,Martinique,,,FUR-BO-10000330,,,"Acco Pressboard Covers With Storage Hooks, 9 1/2"" X 11"", Executive Red",
AG-2014-4880,,Benjamin Farhat,,Ashanti,Mauritania,,,FUR-BO-10000362,,,"Acco Presstex Data Binder With Storage Hooks, Dark Blue, 14 7/8"" X 11""",
AG-2014-5620,,Benjamin Patterson,,Ashgabat,Mexico,,,FUR-BO-10000378,,,"Acco Presstex Data Binder With Storage Hooks, Dark Blue, 9 1/2"" X 11""",
AG-2014-6170,,Benjamin Venier,,Assam,Moldova,,,FUR-BO-10000402,,,"Acco Presstex Data Binder With Storage Hooks, Light Blue, 9 1/2"" X 11""",
AG-2014-6310,,Berenike Kampe,,Astana,Mongolia,,,FUR-BO-10000411,,,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",
AG-2014-6470,,Beth Fritzler,,Astrakhan',Montenegro,,,FUR-BO-10000425,,,Acco Side-Punched Conventional Columnar Pads,
AG-2014-6650,,Beth Paige,,Asturias,Morocco,,,FUR-BO-10000468,,,"Acco Six-Outlet Power Strip, 4' Cord Length",
AG-2014-7430,,Beth Thompson,,Asuncion,Mozambique,,,FUR-BO-10000490,,,Acco Smartsocket Color-Coded Six-Outlet Ac Adapter Model Surge Protectors,
AG-2014-7490,,Bill Donatelli,,Aswan,Myanmar (Burma),,,FUR-BO-10000502,,,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",
AG-2014-7770,,Bill Eplett,,Asyut,Namibia,,,FUR-BO-10000514,,,Acco Suede Grain Vinyl Round Ring Binder,
AG-2014-8040,,Bill Overfelt,,Atacama,Nepal,,,FUR-BO-10000517,,,Acco Translucent Poly Ring Binders,
AG-2014-8240,,Bill Shonely,,Atakora,Netherlands,,,FUR-BO-10000533,,,"Accohide 3-Ring Binder, Blue, 1""",
AG-2014-8390,,Bill Stewart,,Atlantico,New Zealand,,,FUR-BO-10000567,,,Accohide Binder By Acco,
AG-2014-8600,,Bill Tyler,,Atlantida,Nicaragua,,,FUR-BO-10000596,,,Accohide Poly Flexible Ring Binders,
AG-2014-8620,,Bobby Elias,,Atlantique,Niger,,,FUR-BO-10000610,,,"Accos Clamps, 12 Pack",
AG-2014-8710,,Bobby Odegard,,Atsimo-Andrefana,Nigeria,,,FUR-BO-10000616,,,"Accos Clamps, Assorted Sizes",
AG-2014-8930,,Bobby Trafton,,Atsinanana,Norway,,,FUR-BO-10000623,,,"Accos Clamps, Bulk Pack",
AG-2014-9060,,Brad Eason,,Auckland,Pakistan,,,FUR-BO-10000624,,,"Accos Clamps, Metal",
AG-2014-9240,,Brad Norvell,,Australian Capital Territory,Panama,,,FUR-BO-10000636,,,"Accos Paper Clips, Assorted Sizes",
AG-2014-9430,,Brad Thomas,,Auvergne,Papua New Guinea,,,FUR-BO-10000655,,,"Accos Paper Clips, Bulk Pack",
AJ-2011-4230,,Bradley Drucker,,Aveiro,Paraguay,,,FUR-BO-10000666,,,"Accos Paper Clips, Metal",
AJ-2011-4420,,Bradley Nguyen,,Ayacucho,Peru,,,FUR-BO-10000668,,,"Accos Push Pins, 12 Pack",
AJ-2011-4460,,Bradley Talbott,,Aydin,Philippines,,,FUR-BO-10000670,,,"Accos Push Pins, Assorted Sizes",
AJ-2011-7680,,Brenda Bowman,,Azuay,Poland,,,FUR-BO-10000676,,,"Accos Push Pins, Bulk Pack",
AJ-2012-7450,,Brendan Dodson,,Babil,Portugal,,,FUR-BO-10000684,,,"Accos Push Pins, Metal",
AJ-2012-7720,,Brendan Murry,,Bacau,Qatar,,,FUR-BO-10000699,,,"Accos Rubber Bands, 12 Pack",
AJ-2013-1340,,Brendan Sweed,,Baden-Wurttemberg,Republic Of The Congo,,,FUR-BO-10000700,,,"Accos Rubber Bands, Assorted Sizes",
AJ-2013-1760,,Brian Dahlen,,Baghdad,Romania,,,FUR-BO-10000711,,,"Accos Rubber Bands, Bulk Pack",
AJ-2013-180,,Brian Decherney,,Bahia,Russia,,,FUR-BO-10000712,,,"Accos Rubber Bands, Metal",
AJ-2013-2640,,Brian Derr,,Baja California,Rwanda,,,FUR-BO-10000728,,,"Accos Staples, 12 Pack",
AJ-2013-3610,,Brian Moss,,Baja California Sur,Saudi Arabia,,,FUR-BO-10000734,,,"Accos Staples, Assorted Sizes",
AJ-2013-8630,,Brian Stugart,,Baki,Senegal,,,FUR-BO-10000746,,,"Accos Staples, Bulk Pack",
AJ-2014-1760,,Brian Thompson,,Balearic Islands,Sierra Leone,,,FUR-BO-10000780,,,"Accos Staples, Metal",
AJ-2014-5740,,Brooke Gillingham,,Bali,Singapore,,,FUR-BO-10000786,,,"Accos Thumb Tacks, 12 Pack",
AJ-2014-6170,,Brosina Hoffman,,Balikesir,Slovakia,,,FUR-BO-10000791,,,"Accos Thumb Tacks, Assorted Sizes",
